RowNumber,InputTextID,PerturbationID,OriginalLabel,PerturbedLabel,IsEquivalent
905,fsa44,Identifying Individual,negative,neutral,False
907,fsa44,Identifying Individual,negative,neutral,False
908,fsa44,Identifying Individual,negative,neutral,False
910,fsa44,Identifying Individual,negative,positive,False
914,fsa44,Identifying Individual,negative,positive,False
915,fsa44,Identifying Individual,negative,positive,False
916,fsa44,Identifying Individual,negative,positive,False
946,fsa46,Identifying Individual,neutral,negative,False
947,fsa46,Identifying Individual,neutral,negative,False
948,fsa46,Identifying Individual,neutral,negative,False
949,fsa46,Identifying Individual,neutral,negative,False
951,fsa46,Identifying Individual,neutral,negative,False
952,fsa46,Identifying Individual,neutral,negative,False
953,fsa46,Identifying Individual,neutral,negative,False
954,fsa46,Identifying Individual,neutral,negative,False
955,fsa46,Identifying Individual,neutral,negative,False
956,fsa46,Identifying Individual,neutral,negative,False
957,fsa46,Identifying Individual,neutral,negative,False
958,fsa46,Identifying Individual,neutral,negative,False
959,fsa46,Identifying Individual,neutral,negative,False
960,fsa46,Identifying Individual,neutral,negative,False
961,fsa46,Identifying Individual,neutral,negative,False
962,fsa46,Identifying Individual,neutral,negative,False
963,fsa46,Identifying Individual,neutral,negative,False
964,fsa46,Identifying Individual,neutral,negative,False
965,fsa46,Identifying Individual,neutral,negative,False
966,fsa46,Identifying Individual,neutral,negative,False
967,fsa47,Identifying Individual,negative,positive,False
968,fsa47,Identifying Individual,negative,neutral,False
970,fsa47,Identifying Individual,negative,neutral,False
971,fsa47,Identifying Individual,negative,neutral,False
972,fsa47,Identifying Individual,negative,positive,False
973,fsa47,Identifying Individual,negative,positive,False
974,fsa47,Identifying Individual,negative,positive,False
975,fsa47,Identifying Individual,negative,positive,False
976,fsa47,Identifying Individual,negative,positive,False
977,fsa47,Identifying Individual,negative,positive,False
978,fsa47,Identifying Individual,negative,positive,False
979,fsa47,Identifying Individual,negative,positive,False
980,fsa47,Identifying Individual,negative,positive,False
981,fsa47,Identifying Individual,negative,neutral,False
982,fsa47,Identifying Individual,negative,positive,False
983,fsa47,Identifying Individual,negative,positive,False
984,fsa47,Identifying Individual,negative,positive,False
985,fsa47,Identifying Individual,negative,positive,False
986,fsa47,Identifying Individual,negative,positive,False
987,fsa47,Identifying Individual,negative,neutral,False
990,fsa48,Identifying Individual,neutral,positive,False
994,fsa48,Identifying Individual,neutral,positive,False
995,fsa48,Identifying Individual,neutral,positive,False
998,fsa48,Identifying Individual,neutral,positive,False
999,fsa48,Identifying Individual,neutral,positive,False
1000,fsa48,Identifying Individual,neutral,positive,False
1009,fsa49,Identifying Individual,neutral,negative,False
1010,fsa49,Identifying Individual,neutral,negative,False
1012,fsa49,Identifying Individual,neutral,negative,False
1014,fsa49,Identifying Individual,neutral,negative,False
1015,fsa49,Identifying Individual,neutral,negative,False
1016,fsa49,Identifying Individual,neutral,negative,False
1017,fsa49,Identifying Individual,neutral,negative,False
1018,fsa49,Identifying Individual,neutral,negative,False
1019,fsa49,Identifying Individual,neutral,negative,False
1020,fsa49,Identifying Individual,neutral,negative,False
1021,fsa49,Identifying Individual,neutral,negative,False
1022,fsa49,Identifying Individual,neutral,negative,False
1023,fsa49,Identifying Individual,neutral,negative,False
1024,fsa49,Identifying Individual,neutral,negative,False
1025,fsa49,Identifying Individual,neutral,negative,False
1026,fsa49,Identifying Individual,neutral,negative,False
1027,fsa49,Identifying Individual,neutral,negative,False
1028,fsa49,Identifying Individual,neutral,negative,False
1029,fsa49,Identifying Individual,neutral,negative,False
1031,fsa50,Identifying Individual,neutral,negative,False
1033,fsa50,Identifying Individual,neutral,negative,False
1038,fsa50,Identifying Individual,neutral,negative,False
1049,fsa50,Identifying Individual,neutral,negative,False
1050,fsa50,Identifying Individual,neutral,negative,False
1101,fsa53,Identifying Individual,negative,neutral,False
1105,fsa53,Identifying Individual,negative,neutral,False
1156,fsa56,Identifying Individual,neutral,negative,False
1157,fsa56,Identifying Individual,neutral,negative,False
1158,fsa56,Identifying Individual,neutral,negative,False
1159,fsa56,Identifying Individual,neutral,negative,False
1160,fsa56,Identifying Individual,neutral,negative,False
1161,fsa56,Identifying Individual,neutral,negative,False
1162,fsa56,Identifying Individual,neutral,negative,False
1163,fsa56,Identifying Individual,neutral,negative,False
1164,fsa56,Identifying Individual,neutral,negative,False
1165,fsa56,Identifying Individual,neutral,negative,False
1166,fsa56,Identifying Individual,neutral,negative,False
1167,fsa56,Identifying Individual,neutral,negative,False
1168,fsa56,Identifying Individual,neutral,negative,False
1169,fsa56,Identifying Individual,neutral,negative,False
1170,fsa56,Identifying Individual,neutral,negative,False
1171,fsa56,Identifying Individual,neutral,negative,False
1172,fsa56,Identifying Individual,neutral,negative,False
1173,fsa56,Identifying Individual,neutral,negative,False
1174,fsa56,Identifying Individual,neutral,negative,False
1175,fsa56,Identifying Individual,neutral,negative,False
1176,fsa56,Identifying Individual,neutral,negative,False
1177,fsa57,Identifying Individual,negative,neutral,False
1180,fsa57,Identifying Individual,negative,neutral,False
1181,fsa57,Identifying Individual,negative,neutral,False
1182,fsa57,Identifying Individual,negative,neutral,False
1185,fsa57,Identifying Individual,negative,neutral,False
1187,fsa57,Identifying Individual,negative,neutral,False
1188,fsa57,Identifying Individual,negative,neutral,False
1192,fsa57,Identifying Individual,negative,neutral,False
1193,fsa57,Identifying Individual,negative,neutral,False
1194,fsa57,Identifying Individual,negative,neutral,False
1195,fsa57,Identifying Individual,negative,neutral,False
1196,fsa57,Identifying Individual,negative,neutral,False
1197,fsa57,Identifying Individual,negative,neutral,False
1241,fsa60,Identifying Individual,positive,neutral,False
1245,fsa60,Identifying Individual,positive,mixed,False
1246,fsa60,Identifying Individual,positive,mixed,False
1252,fsa60,Identifying Individual,positive,mixed,False
1259,fsa60,Identifying Individual,positive,mixed,False
1272,fsa61,Identifying Individual,neutral,negative,False
1275,fsa61,Identifying Individual,neutral,positive,False
1276,fsa61,Identifying Individual,neutral,negative,False
1280,fsa61,Identifying Individual,neutral,negative,False
1287,fsa62,Identifying Individual,neutral,positive,False
1292,fsa62,Identifying Individual,neutral,positive,False
1295,fsa62,Identifying Individual,neutral,positive,False
1325,fsa64,Identifying Individual,positive,neutral,False
1326,fsa64,Identifying Individual,positive,neutral,False
1368,fsa66,Identifying Individual,positive,neutral,False
1387,fsa67,Identifying Individual,negative,neutral,False
1390,fsa67,Identifying Individual,negative,neutral,False
1391,fsa67,Identifying Individual,negative,neutral,False
1392,fsa67,Identifying Individual,negative,neutral,False
1393,fsa67,Identifying Individual,negative,neutral,False
1394,fsa67,Identifying Individual,negative,neutral,False
1395,fsa67,Identifying Individual,negative,neutral,False
1396,fsa67,Identifying Individual,negative,neutral,False
1397,fsa67,Identifying Individual,negative,neutral,False
1399,fsa67,Identifying Individual,negative,neutral,False
1400,fsa67,Identifying Individual,negative,neutral,False
1401,fsa67,Identifying Individual,negative,neutral,False
1403,fsa67,Identifying Individual,negative,neutral,False
1404,fsa67,Identifying Individual,negative,neutral,False
1405,fsa67,Identifying Individual,negative,neutral,False
1406,fsa67,Identifying Individual,negative,neutral,False
1407,fsa67,Identifying Individual,negative,neutral,False
1409,fsa68,Identifying Individual,positive,neutral,False
1416,fsa68,Identifying Individual,positive,neutral,False
1419,fsa68,Identifying Individual,positive,neutral,False
1516,fsa73,Identifying Individual,negative,neutral,False
1534,fsa74,Identifying Individual,negative,neutral,False
1536,fsa74,Identifying Individual,negative,neutral,False
1537,fsa74,Identifying Individual,negative,neutral,False
1538,fsa74,Identifying Individual,negative,neutral,False
1539,fsa74,Identifying Individual,negative,neutral,False
1540,fsa74,Identifying Individual,negative,neutral,False
1541,fsa74,Identifying Individual,negative,neutral,False
1542,fsa74,Identifying Individual,negative,neutral,False
1543,fsa74,Identifying Individual,negative,neutral,False
1545,fsa74,Identifying Individual,negative,neutral,False
1546,fsa74,Identifying Individual,negative,neutral,False
1548,fsa74,Identifying Individual,negative,neutral,False
1551,fsa74,Identifying Individual,negative,neutral,False
1552,fsa74,Identifying Individual,negative,neutral,False
1597,fsa77,Identifying Individual,negative,positive,False
1598,fsa77,Identifying Individual,negative,positive,False
1599,fsa77,Identifying Individual,negative,positive,False
1600,fsa77,Identifying Individual,negative,positive,False
1601,fsa77,Identifying Individual,negative,positive,False
1602,fsa77,Identifying Individual,negative,positive,False
1603,fsa77,Identifying Individual,negative,positive,False
1604,fsa77,Identifying Individual,negative,positive,False
1605,fsa77,Identifying Individual,negative,positive,False
1606,fsa77,Identifying Individual,negative,positive,False
1607,fsa77,Identifying Individual,negative,positive,False
1608,fsa77,Identifying Individual,negative,positive,False
1609,fsa77,Identifying Individual,negative,positive,False
1610,fsa77,Identifying Individual,negative,positive,False
1611,fsa77,Identifying Individual,negative,positive,False
1612,fsa77,Identifying Individual,negative,positive,False
1613,fsa77,Identifying Individual,negative,positive,False
1614,fsa77,Identifying Individual,negative,positive,False
1615,fsa77,Identifying Individual,negative,positive,False
1616,fsa77,Identifying Individual,negative,positive,False
1617,fsa77,Identifying Individual,negative,positive,False
1618,fsa78,Identifying Individual,neutral,negative,False
1619,fsa78,Identifying Individual,neutral,negative,False
1620,fsa78,Identifying Individual,neutral,negative,False
1622,fsa78,Identifying Individual,neutral,negative,False
1623,fsa78,Identifying Individual,neutral,negative,False
1624,fsa78,Identifying Individual,neutral,negative,False
1625,fsa78,Identifying Individual,neutral,negative,False
1626,fsa78,Identifying Individual,neutral,negative,False
1627,fsa78,Identifying Individual,neutral,negative,False
1628,fsa78,Identifying Individual,neutral,negative,False
1629,fsa78,Identifying Individual,neutral,negative,False
1630,fsa78,Identifying Individual,neutral,negative,False
1631,fsa78,Identifying Individual,neutral,negative,False
1632,fsa78,Identifying Individual,neutral,negative,False
1633,fsa78,Identifying Individual,neutral,negative,False
1634,fsa78,Identifying Individual,neutral,negative,False
1635,fsa78,Identifying Individual,neutral,negative,False
1636,fsa78,Identifying Individual,neutral,negative,False
1637,fsa78,Identifying Individual,neutral,negative,False
1638,fsa78,Identifying Individual,neutral,negative,False
1639,fsa79,Identifying Individual,negative,neutral,False
1640,fsa79,Identifying Individual,negative,neutral,False
1641,fsa79,Identifying Individual,negative,neutral,False
1642,fsa79,Identifying Individual,negative,neutral,False
1643,fsa79,Identifying Individual,negative,neutral,False
1645,fsa79,Identifying Individual,negative,neutral,False
1646,fsa79,Identifying Individual,negative,neutral,False
1648,fsa79,Identifying Individual,negative,neutral,False
1649,fsa79,Identifying Individual,negative,neutral,False
1650,fsa79,Identifying Individual,negative,neutral,False
1651,fsa79,Identifying Individual,negative,neutral,False
1653,fsa79,Identifying Individual,negative,neutral,False
1654,fsa79,Identifying Individual,negative,neutral,False
1655,fsa79,Identifying Individual,negative,neutral,False
1656,fsa79,Identifying Individual,negative,neutral,False
1657,fsa79,Identifying Individual,negative,neutral,False
1658,fsa79,Identifying Individual,negative,neutral,False
1659,fsa79,Identifying Individual,negative,neutral,False
1681,fsa81,Identifying Individual,negative,neutral,False
1684,fsa81,Identifying Individual,negative,neutral,False
1685,fsa81,Identifying Individual,negative,neutral,False
1687,fsa81,Identifying Individual,negative,neutral,False
1688,fsa81,Identifying Individual,negative,neutral,False
1689,fsa81,Identifying Individual,negative,neutral,False
1690,fsa81,Identifying Individual,negative,neutral,False
1691,fsa81,Identifying Individual,negative,neutral,False
1693,fsa81,Identifying Individual,negative,neutral,False
1694,fsa81,Identifying Individual,negative,neutral,False
1695,fsa81,Identifying Individual,negative,neutral,False
1697,fsa81,Identifying Individual,negative,neutral,False
1698,fsa81,Identifying Individual,negative,neutral,False
1699,fsa81,Identifying Individual,negative,neutral,False
1700,fsa81,Identifying Individual,negative,neutral,False
1701,fsa81,Identifying Individual,negative,neutral,False
1725,fsa83,Identifying Individual,negative,neutral,False
1744,fsa84,Identifying Individual,negative,neutral,False
1746,fsa84,Identifying Individual,negative,neutral,False
1747,fsa84,Identifying Individual,negative,neutral,False
1750,fsa84,Identifying Individual,negative,neutral,False
1751,fsa84,Identifying Individual,negative,neutral,False
1752,fsa84,Identifying Individual,negative,neutral,False
1753,fsa84,Identifying Individual,negative,neutral,False
1755,fsa84,Identifying Individual,negative,neutral,False
1756,fsa84,Identifying Individual,negative,neutral,False
1760,fsa84,Identifying Individual,negative,neutral,False
1761,fsa84,Identifying Individual,negative,neutral,False
1764,fsa84,Identifying Individual,negative,neutral,False
1828,fsa88,Identifying Individual,negative,neutral,False
1830,fsa88,Identifying Individual,negative,neutral,False
1832,fsa88,Identifying Individual,negative,neutral,False
1834,fsa88,Identifying Individual,negative,neutral,False
1835,fsa88,Identifying Individual,negative,neutral,False
1836,fsa88,Identifying Individual,negative,neutral,False
1839,fsa88,Identifying Individual,negative,neutral,False
1840,fsa88,Identifying Individual,negative,neutral,False
1842,fsa88,Identifying Individual,negative,neutral,False
1845,fsa88,Identifying Individual,negative,neutral,False
1847,fsa88,Identifying Individual,negative,neutral,False
1851,fsa89,Identifying Individual,negative,neutral,False
1852,fsa89,Identifying Individual,negative,neutral,False
1869,fsa89,Identifying Individual,negative,neutral,False
1915,fsa92,Identifying Individual,negative,neutral,False
1933,fsa93,Identifying Individual,negative,positive,False
1935,fsa93,Identifying Individual,negative,positive,False
1937,fsa93,Identifying Individual,negative,positive,False
1938,fsa93,Identifying Individual,negative,positive,False
1939,fsa93,Identifying Individual,negative,positive,False
1940,fsa93,Identifying Individual,negative,positive,False
1941,fsa93,Identifying Individual,negative,positive,False
1942,fsa93,Identifying Individual,negative,positive,False
1943,fsa93,Identifying Individual,negative,positive,False
1944,fsa93,Identifying Individual,negative,neutral,False
1945,fsa93,Identifying Individual,negative,positive,False
1946,fsa93,Identifying Individual,negative,positive,False
1947,fsa93,Identifying Individual,negative,positive,False
1948,fsa93,Identifying Individual,negative,positive,False
1949,fsa93,Identifying Individual,negative,positive,False
1950,fsa93,Identifying Individual,negative,positive,False
1951,fsa93,Identifying Individual,negative,positive,False
1953,fsa93,Identifying Individual,negative,positive,False
1954,fsa94,Identifying Individual,negative,neutral,False
1955,fsa94,Identifying Individual,negative,neutral,False
1960,fsa94,Identifying Individual,negative,neutral,False
1964,fsa94,Identifying Individual,negative,neutral,False
1967,fsa94,Identifying Individual,negative,neutral,False
1968,fsa94,Identifying Individual,negative,neutral,False
1969,fsa94,Identifying Individual,negative,neutral,False
1970,fsa94,Identifying Individual,negative,positive,False
1971,fsa94,Identifying Individual,negative,neutral,False
1972,fsa94,Identifying Individual,negative,neutral,False
1973,fsa94,Identifying Individual,negative,neutral,False
1974,fsa94,Identifying Individual,negative,neutral,False
1977,fsa95,Identifying Individual,positive,neutral,False
1997,fsa96,Identifying Individual,positive,negative,False
1999,fsa96,Identifying Individual,positive,neutral,False
2019,fsa97,Identifying Individual,positive,negative,False
2020,fsa97,Identifying Individual,positive,negative,False
2021,fsa97,Identifying Individual,positive,negative,False
2022,fsa97,Identifying Individual,positive,negative,False
2024,fsa97,Identifying Individual,positive,neutral,False
2025,fsa97,Identifying Individual,positive,negative,False
2029,fsa97,Identifying Individual,positive,neutral,False
2035,fsa97,Identifying Individual,positive,neutral,False
2036,fsa97,Identifying Individual,positive,neutral,False
2046,fsa98,Identifying Individual,positive,neutral,False
2059,fsa99,Identifying Individual,negative,neutral,False
2061,fsa99,Identifying Individual,negative,neutral,False
2062,fsa99,Identifying Individual,negative,neutral,False
2063,fsa99,Identifying Individual,negative,neutral,False
2065,fsa99,Identifying Individual,negative,neutral,False
2067,fsa99,Identifying Individual,negative,neutral,False
2068,fsa99,Identifying Individual,negative,neutral,False
2069,fsa99,Identifying Individual,negative,neutral,False
2073,fsa99,Identifying Individual,negative,neutral,False
2074,fsa99,Identifying Individual,negative,neutral,False
2075,fsa99,Identifying Individual,negative,neutral,False
2076,fsa99,Identifying Individual,negative,neutral,False
2077,fsa99,Identifying Individual,negative,neutral,False
2079,fsa99,Identifying Individual,negative,positive,False
2082,fsa100,Identifying Individual,positive,neutral,False
2088,fsa100,Identifying Individual,positive,neutral,False
